country,geo,indicator.name,indicator,year,tfr
Afghanistan,afg,Total fertility rate,tfr,1800,7.0
Albania,alb,Total fertility rate,tfr,1800,4.6
Algeria,dza,Total fertility rate,tfr,1800,6.99
Angola,ago,Total fertility rate,tfr,1800,6.93
Antigua and Barbuda,atg,Total fertility rate,tfr,1800,5.0
Argentina,arg,Total fertility rate,tfr,1800,6.8
Armenia,arm,Total fertility rate,tfr,1800,7.8
Aruba,abw,Total fertility rate,tfr,1800,5.64
Australia,aus,Total fertility rate,tfr,1800,6.5
Austria,aut,Total fertility rate,tfr,1800,5.1
Azerbaijan,aze,Total fertility rate,tfr,1800,8.1
Bahamas,bhs,Total fertility rate,tfr,1800,5.9
Bahrain,bhr,Total fertility rate,tfr,1800,7.03
Bangladesh,bgd,Total fertility rate,tfr,1800,6.7
Barbados,brb,Total fertility rate,tfr,1800,4.96
Belarus,blr,Total fertility rate,tfr,1800,7.0
Belgium,bel,Total fertility rate,tfr,1800,4.85
Belize,blz,Total fertility rate,tfr,1800,6.69
Benin,ben,Total fertility rate,tfr,1800,5.55
Bhutan,btn,Total fertility rate,tfr,1800,6.67
Bolivia,bol,Total fertility rate,tfr,1800,6.48
Bosnia and Herzegovina,bih,Total fertility rate,tfr,1800,5.91
Botswana,bwa,Total fertility rate,tfr,1800,6.47
Brazil,bra,Total fertility rate,tfr,1800,6.26
Brunei,brn,Total fertility rate,tfr,1800,7.06
Bulgaria,bgr,Total fertility rate,tfr,1800,5.16
Burkina Faso,bfa,Total fertility rate,tfr,1800,6.03
Burundi,bdi,Total fertility rate,tfr,1800,6.8
Cambodia,khm,Total fertility rate,tfr,1800,6.95
Cameroon,cmr,Total fertility rate,tfr,1800,5.54
Canada,can,Total fertility rate,tfr,1800,5.72
Cape Verde,cpv,Total fertility rate,tfr,1800,6.43
Central African Republic,caf,Total fertility rate,tfr,1800,6.51
Chad,tcd,Total fertility rate,tfr,1800,6.06
Channel Islands,chanisl,Total fertility rate,tfr,1800,5.07
Chile,chl,Total fertility rate,tfr,1800,5.98
China,chn,Total fertility rate,tfr,1800,5.5
Colombia,col,Total fertility rate,tfr,1800,6.19
Comoros,com,Total fertility rate,tfr,1800,6.01
"Congo, Dem. Rep.",cod,Total fertility rate,tfr,1800,5.99
"Congo, Rep.",cog,Total fertility rate,tfr,1800,5.67
Costa Rica,cri,Total fertility rate,tfr,1800,6.93
Cote d'Ivoire,civ,Total fertility rate,tfr,1800,6.78
Croatia,hrv,Total fertility rate,tfr,1800,5.75
Cuba,cub,Total fertility rate,tfr,1800,5.78
Cyprus,cyp,Total fertility rate,tfr,1800,6.03
Czech Republic,cze,Total fertility rate,tfr,1800,5.33
Denmark,dnk,Total fertility rate,tfr,1800,4.04
Djibouti,dji,Total fertility rate,tfr,1800,6.3
Dominican Republic,dom,Total fertility rate,tfr,1800,6.16
Ecuador,ecu,Total fertility rate,tfr,1800,6.98
Egypt,egy,Total fertility rate,tfr,1800,6.06
El Salvador,slv,Total fertility rate,tfr,1800,5.9
Equatorial Guinea,gnq,Total fertility rate,tfr,1800,5.51
Eritrea,eri,Total fertility rate,tfr,1800,6.96
Estonia,est,Total fertility rate,tfr,1800,5.59
Ethiopia,eth,Total fertility rate,tfr,1800,7.17
Fiji,fji,Total fertility rate,tfr,1800,6.45
Finland,fin,Total fertility rate,tfr,1800,4.92
France,fra,Total fertility rate,tfr,1800,4.41
French Guiana,guf,Total fertility rate,tfr,1800,6.27
French Polynesia,pyf,Total fertility rate,tfr,1800,5.97
Gabon,gab,Total fertility rate,tfr,1800,6.5
Gambia,gmb,Total fertility rate,tfr,1800,6.51
Georgia,geo,Total fertility rate,tfr,1800,7.8
Germany,deu,Total fertility rate,tfr,1800,5.4
Ghana,gha,Total fertility rate,tfr,1800,6.43
Greece,grc,Total fertility rate,tfr,1800,6.03
Greenland,grl,Total fertility rate,tfr,1800,4.9
Grenada,grd,Total fertility rate,tfr,1800,5.81
Guadeloupe,glp,Total fertility rate,tfr,1800,5.62
Guam,gum,Total fertility rate,tfr,1800,6.37
Guatemala,gtm,Total fertility rate,tfr,1800,6.45
Guinea,gin,Total fertility rate,tfr,1800,6.11
Guinea-Bissau,gnb,Total fertility rate,tfr,1800,7.25
Guyana,guy,Total fertility rate,tfr,1800,5.01
Haiti,hti,Total fertility rate,tfr,1800,6.31
Honduras,hnd,Total fertility rate,tfr,1800,6.05
"Hong Kong, China",hkg,Total fertility rate,tfr,1800,5.47
Hungary,hun,Total fertility rate,tfr,1800,5.18
Iceland,isl,Total fertility rate,tfr,1800,4.88
India,ind,Total fertility rate,tfr,1800,5.95
Indonesia,idn,Total fertility rate,tfr,1800,6.07
Iran,irn,Total fertility rate,tfr,1800,7.08
Iraq,irq,Total fertility rate,tfr,1800,7.13
Ireland,irl,Total fertility rate,tfr,1800,4.2
Israel,isr,Total fertility rate,tfr,1800,6.0
Italy,ita,Total fertility rate,tfr,1800,5.47
Jamaica,jam,Total fertility rate,tfr,1800,5.13
Japan,jpn,Total fertility rate,tfr,1800,4.08
Jordan,jor,Total fertility rate,tfr,1800,6.97
Kazakhstan,kaz,Total fertility rate,tfr,1800,6.45
Kenya,ken,Total fertility rate,tfr,1800,6.91
Kiribati,kir,Total fertility rate,tfr,1800,5.67
North Korea,prk,Total fertility rate,tfr,1800,6.1
South Korea,kor,Total fertility rate,tfr,1800,6.0
Kuwait,kwt,Total fertility rate,tfr,1800,6.87
Kyrgyz Republic,kgz,Total fertility rate,tfr,1800,6.58
Lao,lao,Total fertility rate,tfr,1800,6.13
Latvia,lva,Total fertility rate,tfr,1800,5.2
Lebanon,lbn,Total fertility rate,tfr,1800,5.74
Lesotho,lso,Total fertility rate,tfr,1800,5.84
Liberia,lbr,Total fertility rate,tfr,1800,6.19
Libya,lby,Total fertility rate,tfr,1800,7.2
Lithuania,ltu,Total fertility rate,tfr,1800,5.76
Luxembourg,lux,Total fertility rate,tfr,1800,4.78
"Macao, China",mac,Total fertility rate,tfr,1800,5.51
"Macedonia, FYR",mkd,Total fertility rate,tfr,1800,5.9
Madagascar,mdg,Total fertility rate,tfr,1800,6.89
Malawi,mwi,Total fertility rate,tfr,1800,6.78
Malaysia,mys,Total fertility rate,tfr,1800,5.45
Maldives,mdv,Total fertility rate,tfr,1800,5.98
Mali,mli,Total fertility rate,tfr,1800,6.23
Malta,mlt,Total fertility rate,tfr,1800,5.49
Martinique,mtq,Total fertility rate,tfr,1800,5.71
Mauritania,mrt,Total fertility rate,tfr,1800,6.34
Mauritius,mus,Total fertility rate,tfr,1800,5.03
Mayotte,myt,Total fertility rate,tfr,1800,7.07
Mexico,mex,Total fertility rate,tfr,1800,6.8
"Micronesia, Fed. Sts.",fsm,Total fertility rate,tfr,1800,6.02
Moldova,mda,Total fertility rate,tfr,1800,6.39
Mongolia,mng,Total fertility rate,tfr,1800,5.94
Montenegro,mne,Total fertility rate,tfr,1800,5.9
Morocco,mar,Total fertility rate,tfr,1800,6.5
Mozambique,moz,Total fertility rate,tfr,1800,6.63
Myanmar,mmr,Total fertility rate,tfr,1800,6.03
Namibia,nam,Total fertility rate,tfr,1800,5.96
Nepal,npl,Total fertility rate,tfr,1800,6.15
Netherlands,nld,Total fertility rate,tfr,1800,5.11
Netherlands Antilles,ant,Total fertility rate,tfr,1800,5.8
New Caledonia,ncl,Total fertility rate,tfr,1800,6.41
New Zealand,nzl,Total fertility rate,tfr,1800,5.25
Nicaragua,nic,Total fertility rate,tfr,1800,6.16
Niger,ner,Total fertility rate,tfr,1800,6.83
Nigeria,nga,Total fertility rate,tfr,1800,6.55
